# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:12.830000 PDT,+1308.33+633.652j
2017-03-28 00:00:12.840000 PDT,+1304.75+631.918j
2017-03-28 00:00:12.850000 PDT,+1301.17+630.184j
2017-03-28 00:00:12.860000 PDT,+1297.59+628.45j
2017-03-28 00:00:12.870000 PDT,+1294.01+626.716j
2017-03-28 00:00:12.880000 PDT,+1290.43+624.983j
2017-03-28 00:00:12.890000 PDT,+1286.85+623.25j
2017-03-28 00:00:12.900000 PDT,+1283.27+621.517j
2017-03-28 00:00:12.910000 PDT,+1279.69+619.784j
2017-03-28 00:00:12.920000 PDT,+1276.12+618.051j
